objectid,parentid,title,creator,date,object type,description,subject,current location,former location,format,display_template,object_location,image_small,image_thumb,object_transcript,notes,@
id_0091,,Missionette Reading from a Book,,1955-1975,image,A missionette stands on stage in front of a microphone holding a book,Missionettes; Service,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0091.png,/objects/small/id_0091.png,/objects/thumbs/id_0091.png,,,
id_0092,,Missionettes,,1955-1975,image,Three missionettes stand on stage with an adult leader,Missionettes; Service,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0092.png,/objects/small/id_0092.png,/objects/thumbs/id_0092.png,,,
id_0093,,Missionettes with Young Girls,,1973-05,image,Adult missionette leaders stand with young girls,Missionettes; Portrait,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0093.png,/objects/small/id_0093.png,/objects/thumbs/id_0093.png,,,
id_0094,,Leading Youth Service,,1955-1975,image,Adult leaders lead worship for a child audience,Service; Worship; Vacation Bible School; Sunday School; Children's Ministry,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0094.png,/objects/small/id_0094.png,/objects/thumbs/id_0094.png,,,
id_0095,,Group Photo of Children,,1955-1975,image,A group of children stand for a photograph on steps in front of a red door,Portrait,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0095.png,/objects/small/id_0095.png,/objects/thumbs/id_0095.png,,,
id_0096,,Group Photo of Children,,1955-1975,image,A group of children stand for a photograph on steps in front of a red door,Portrait,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0096.png,/objects/small/id_0096.png,/objects/thumbs/id_0096.png,,,
id_0097,,Children in Play Armor,,1955-1975,image,Children decorated with armor and weapons made of aluminum foil,Portrait; Children's Ministry,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0097.png,/objects/small/id_0097.png,/objects/thumbs/id_0097.png,,,
id_0098,,Missionettes Performing,,1955-1975,image,Missionettes perform on sanctuary stage,Missionettes; Service; Worship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0098.png,/objects/small/id_0098.png,/objects/thumbs/id_0098.png,,,
id_0099,,Missionettes with Cake ,,1955-1975,image,"Missionettes pose with a cake reading ""Honor Stars""",Missionettes; Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0099.png,/objects/small/id_0099.png,/objects/thumbs/id_0099.png,,,
id_0100,,Young Girls Perform,,1955-1975,image,Two young girls perform on sanctuary stage,Children's Ministry; Service; Worship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0100.png,/objects/small/id_0100.png,/objects/thumbs/id_0100.png,,,
